DEPTH	SDTC	1-AMP	SDTS	CAI	SDTST
200	0.004257	-0.509505	0.001062	-0.684274	0.036126
200.125	0.001275	-0.469717	-0.002579	-0.630948	0.018033
200.25	0.001656	-0.40577	-0.003448	-0.545122	0.000297
200.375	0.004047	-0.356501	0.001087	-0.478416	-0.006345
200.5	0.007253	-0.374999	0.009374	-0.500453	0.003707
200.625	0.011358	-0.362293	0.019557	-0.483323	0.031009
200.75	0.017678	-0.409585	0.028699	-0.546378	0.067828
200.875	0.026237	-0.449511	0.033453	-0.601284	0.096984
201	0.034962	-0.327426	0.031794	-0.441112	0.107228
201.125	0.041399	-0.327516	0.024533	-0.43945	0.098011
201.25	0.043414	-0.209518	0.01411	-0.284173	0.07294
201.375	0.040846	-0.196124	0.004965	-0.266567	0.043177
201.5	0.035586	-0.19729	0.000717	-0.265801	0.019794
201.625	0.029136	-0.232279	0.006919	-0.311157	0.005083
201.75	0.022351	-0.280892	0.017052	-0.376443	0.001139
201.875	0.015741	-0.259618	0.030985	-0.351841	0.002631
202	0.009584	-0.266855	0.046898	-0.36197	0.001459
202.125	0.004679	-0.243774	0.063333	-0.333496	-0.000228
202.25	0.001521	-0.251764	0.079053	-0.341342	0.001019
202.375	0.00569	-0.269134	0.091935	-0.360575	0.010661
202.5	0.013675	-0.273248	0.096759	-0.364691	0.028513
202.625	0.017851	-0.260134	0.08971	-0.347371	0.04692
202.75	0.016564	-0.227228	0.072558	-0.302992	0.05836
202.875	0.010108	-0.241463	0.049281	-0.322401	0.058659
203	0.000691	-0.139252	0.025601	-0.191446	0.045966
203.125	-0.006863	-0.11952	0.007839	-0.161254	0.026574
203.25	-0.007851	-0.125236	0.000452	-0.168032	0.010084
203.375	-0.001816	-0.08586	0.001204	-0.117782	0.001542
203.5	0.006234	-0.121067	0.007687	-0.163508	0.001885
203.625	0.013742	-0.17462	0.018961	-0.236285	0.007609
203.75	0.02059	-0.169427	0.030627	-0.229062	0.011556
203.875	0.026121	-0.192829	0.038994	-0.257951	0.010512
204	0.030316	-0.196596	0.041805	-0.26231	0.005655
204.125	0.032141	-0.196806	0.037785	-0.265656	0.000785
204.25	0.029737	-0.208104	0.029296	-0.279044	0.00461
204.375	0.022766	-0.211755	0.020029	-0.286842	0.01035
204.5	0.013794	-0.241444	0.011626	-0.325993	0.012558
204.625	0.00556	-0.250524	0.004838	-0.337984	0.008952
204.75	0.001075	-0.255331	0.001002	-0.345357	0.002109
204.875	0.000611	-0.215664	0.000121	-0.289553	-0.000139
